Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
Birdman,Alejandro González Iñárritu,Alejandro González Iñárritu,Antonio Sánchez,Emmanuel Lubezki,Douglas Crise,Michael Keaton,Zach Galifianakis,Edward Norton ,Comédie noire,2,2,3,2,20,103.2,416,2
Whiplash,Damien Chazelle,Damien Chazelle,Justin Hurwitz,Sharone Meir,Tom Cross,Miles Teller,J. K. Simmons,Paul Reiser,Drame,1,1,3,2,3.3,49,1384.848485,2
The Grand Budapest Hotel,Wes Anderson,Wes Anderson,Alexandre Desplat,Robert D. Yeoman,Barney Pilling,Ralph Fiennes,Tony Revolori ,Saoirse Ronan,Aventure,3,1,3,3,25,174.8,599.2,2
Spotlight,Tom McCarthy,Tom McCarthy,Howard Shore,Masanobu Takayanagi,Tom McArdle,Mark Ruffalo,Michael Keaton,Rachel McAdams,Drame,1,1,1,3,20,98.3,391.5,2
The Revenant,Alejandro González Iñárritu,Alejandro González Iñárritu,Ryuichi Sakamoto,Emmanuel Lubezki,Stephen Mirrione,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Western,1,2,3,2,135,533,294.8148148,2
Mad Max : Fury Road,George Miller,George Miller,Junkie XL,John Seale,Margaret Sixel,Tom Hardy,Charlize Theron,Nicholas Hoult,Action,3,2,2,2,150,378.9,152.6,2
The Hateful Eight,Quentin Tarantino,Quentin Tarantino,Ennio Morricone,Robert Richardson,Fred Raskin,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Western,1,1,2,2,44,155.8,254.0909091,2
Manchester by the sea,Kenneth Lonergan,Kenneth Lonergan,Lesley Barber,Jody Lee Lipes,Jennifer Lame,Casey Affleck,Michelle Williams,Lucas Hedges,Drame,1,2,3,2,9,79,777.7777778,2
La La Land,Damien Chazelle,Damien Chazelle,Justin Hurwitz,Linus Sandgren,Tom Cross,Ryan Gosling,Emma Stone,John Legend,Romance,1,2,3,2,30,446.1,1387,2
Hacksaw Ridge,Mel Gibson,Randall Wallace,Rupert Gregson-Williams,Simon Duggan,John Gilbert,Andrew Garfield,Vince Vaughn,Sam Worthington,Guerre,2,2,3,3,40,175.3,338.25,2
Get out,Jordan Peele,Jordan Peele,Michael Abels,Toby Oliver,Gregory Plotkin,Daniel Kaluuya ,Allison Williams,Catherine Keener,Horreur,0,1,1,1,4.5,255.4,5575.555556,2
The Shape of Water,Guillermo del Toro,Alexandre Desplat,Alexandre Desplat,Dan Laustsen,Sidney Wolinsky,Sally Hawkins,Michael Shannon,Richard Jenkins,Romance,1,1,1,2,20,195.2,876,2
Blade Runner 2049,Denis Villeneuve,Hampton Fancher,Hans Zimmer,Roger Deakins,Joe Walker,Ryan Gosling,Harrison Ford,Ana de Armas,SF,3,2,3,1,150,259.2,72.8,2
Dunkerke,Christopher Nolan,Christopher Nolan,Hans Zimmer,Hoyte van Hoytema,Lee Smith,Tom Hardy,Cillian Murphy,Harry Styles,Guerre,2,2,3,3,100,526.9,426.9,2
The Danish Girl,Tom Hooper,Lucinda Coxon,Alexandre Desplat,Danny Cohen,Melanie Oliver,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Biopic,1,1,1,3,25,64.2,156.8,2
The Neon Demon,Nicolas Winding Refn,Nicolas Winding Refn,Cliff Martinez,Natasha Braier,Mattew Newman,Elle Fanning,Karl Glusman,Jena Malone,Horreur,0,2,3,0,7,3.4,-51.42857143,0
T2,Danny Boyle,John Hodge,Ellie Roswell,Anthony Dod Mantle,Jon Harris,Ewan McGregor,Robert Carlyle,Jonny Lee Miller,Comédie noire,2,2,3,2,18,41.7,131.6666667,2
Steve Jobs,Danny Boyle,Aaron Sorkin,Daniel Pemberton,Alwin H. Küchler,Jon Harris,Michael Fassbender,Kate Winslet,Seth Rogen ,Biopic,2,1,2,3,30,34.4,14.66666667,1
